'Erecoil (keV)'    '68.75 keV inelastic'    'Erecoil (keV)'    'Erecoil (keV)'    'NR average'    'Erecoil (keV)'    '13.26 keV inelastic'    'Erecoil (keV)'    'threshold'    'Erecoil (keV)'    'NR low band'    'Erecoil (keV)'    'NR high band'    'Erecoil (keV)'
99.2271            0.783993                 52.6726            0.326115           39.4829         0.527157           4.09585                  0.730612           54.2057        0.248574           4.28584          0.810023           124.561           1.07017
99.8546            0.781259                 53.7023            0.327289           40.3927         0.52292            4.17424                  0.717142           55.2294        0.250173           4.38268          0.797999           127.16            1.07017
100.485            0.778555                 54.7323            0.328443           41.3139         0.518873           4.25575                  0.703673           56.2438        0.251492           4.49544          0.785928           129.758           1.07001
101.118            0.775879                 55.7626            0.329579           42.2473         0.515007           4.34046                  0.690206           57.2435        0.253307           4.61268          0.773837           132.353           1.06947
101.753            0.773232                 56.7932            0.330695           43.1938         0.511312           4.42849                  0.67674            58.2593        0.254577           4.72992          0.761746           134.949           1.06897
102.391            0.770613                 57.824             0.331793           44.1541         0.507779           4.51991                  0.663274           59.2566        0.25653            4.84716          0.749655           137.546           1.06851
103.031            0.768024                 58.8552            0.332874           45.1291         0.504398           4.61482                  0.64981            60.2724        0.258059           4.93135          0.73755            140.142           1.06808
103.674            0.765462                 59.8867            0.333937           46.1197         0.501159           4.71332                  0.636347           61.2878        0.259545           5.02639          0.725451           142.74            1.06768
104.319            0.762929                 60.9184            0.334983           47.1266         0.498053           4.8155                   0.622886           62.3027        0.260989           5.16416          0.713375           145.337           1.06732
104.967            0.760425                 61.9504            0.336013           48.1506         0.495069           4.92146                  0.609426           63.3173        0.262394           5.31209          0.701301           147.935           1.06699
105.616            0.757948                 62.9826            0.337027           49.1927         0.492199           5.03128                  0.595967           64.3316        0.263762           5.47122          0.689232           150.533           1.06668
106.268            0.7555                   64.0151            0.338025           50.2536         0.489432           5.14506                  0.58251            65.3459        0.265094           5.64256          0.677172           153.132           1.06641
106.922            0.753079                 65.0478            0.339007           51.3341         0.48676            5.26289                  0.569054           66.3601        0.266394           5.82715          0.665121           155.731           1.06616
107.579            0.750686                 66.0807            0.339975           52.4351         0.484171           5.38487                  0.555599           67.3743        0.267662           6.02601          0.653083           158.33            1.06593
108.237            0.748321                 67.1139            0.340929           53.5574         0.481657           5.51109                  0.542146           68.3887        0.268902           6.24016          0.641059           160.93            1.06573
108.897            0.745983                 68.1473            0.341869           54.7018         0.479208           5.64165                  0.528695           69.4034        0.270116           6.47064          0.629053           163.529           1.06555
109.56             0.743673                 69.1808            0.342795           55.8691         0.476813           5.79137                  0.515255           70.4185        0.271305           6.71846          0.617066           166.129           1.06539
110.224            0.74139                  70.2146            0.343708           57.0602         0.474465           5.97145                  0.501835           71.434         0.272471           6.98466          0.605101           168.729           1.06525
110.89             0.739134                 71.2486            0.344609           58.1774         0.472578           6.15153                  0.488415           72.4501        0.273618           7.27026          0.59316            171.329           1.06512
111.558            0.736905                 72.2827            0.345498           59.286          0.470702           6.35203                  0.47501            73.4669        0.274746           7.57629          0.581246           173.929           1.06502
112.228            0.734703                 73.317             0.346374           60.3909         0.468714           6.55496                  0.461607           74.4844        0.275858           7.90377          0.569361           176.53            1.06492
112.9              0.732529                 74.3515            0.34724            61.5083         0.467174           6.75789                  0.448204           75.5028        0.276957           8.25374          0.557508           179.119           1.06382
113.573            0.73038                  75.3862            0.348094           62.6339         0.465927           6.96083                  0.434801           76.5222        0.278044           8.62721          0.545688           181.718           1.06382
114.248            0.728259                 76.4209            0.348938           63.7595         0.46468            7.16297                  0.422084           77.5427        0.279121           9.04033          0.533937           184.317           1.06382
114.924            0.726164                 77.4559            0.349772           64.8845         0.463391           7.37456                  0.409649           78.5643        0.280191           9.54973          0.522385           186.915           1.06382
115.602            0.724095                 78.4909            0.350597           66.0081         0.461991           7.602                    0.396893           79.5872        0.281256           10.0768          0.51088            189.514           1.06382
116.282            0.722052                 79.5261            0.351412           67.1329         0.460663           7.84861                  0.383863           80.6115        0.282317           10.7179          0.499673           192.113           1.06382
116.963            0.720036                 80.5614            0.352219           68.2588         0.459404           8.11772                  0.370604           81.6373        0.283377           11.4179          0.488661           194.712           1.06382
117.646            0.718045                 81.5968            0.353017           69.3858         0.458211           8.41264                  0.357164           82.6646        0.284439           12.1815          0.477655           197.3             1.06276
118.33             0.716081                 82.6323            0.353808           70.5139         0.457083           8.7367                   0.343587           83.6936        0.285503           13.0757          0.466481           199.899           1.06276
119.015            0.714142                 83.6679            0.354591           71.643          0.456017           9.09322                  0.329922           84.7244        0.286573           14.0882          0.456447           5.08892           0.00772824
119.702            0.712229                 84.7036            0.355367           72.773          0.455009           9.48551                  0.316213           85.7476        0.287742           15.2097          0.447495           5.18512           0.0264365
120.389            0.710341                 85.7394            0.356136           73.9038         0.454058           9.91691                  0.302508           86.7692        0.288827           16.4313          0.439566           5.28132           0.0451447
121.078            0.708479                 86.7752            0.356899           75.0355         0.453161           10.3907                  0.288852           87.7915        0.289878           17.7436          0.4326             5.39755           0.0638469
121.768            0.706642                 87.8111            0.357657           76.168          0.452315           10.9103                  0.275292           88.8138        0.290929           19.1376          0.426539           5.51555           0.0825487
122.46             0.704831                 88.8471            0.35841            77.3011         0.451517           11.4789                  0.261875           89.8385        0.291753           20.604           0.421323           5.63262           0.101251
123.152            0.703044                 89.8831            0.359157           78.435          0.450765           12.1                     0.248647           90.864         0.292523           22.1337          0.416894           5.74844           0.119953
123.845            0.701283                 90.9191            0.3599             79.5694         0.450057           12.7767                  0.235653           91.8898        0.293303           23.7176          0.413193           5.86425           0.138656
124.539            0.699546                 91.9552            0.360639           80.7043         0.44939            13.5124                  0.222941           92.9158        0.294093           25.3464          0.41016            6.02034           0.157343
125.234            0.697834                 92.9912            0.361375           81.8397         0.44876            14.3105                  0.210557           93.9419        0.294891           27.011           0.407737           6.16382           0.17598
125.93             0.696147                 94.0273            0.362108           82.9756         0.448167           15.1743                  0.198547           94.9683        0.295696           28.7022          0.405865           6.31036           0.194635
126.627            0.694484                 95.0634            0.362838           84.1118         0.447606           16.1071                  0.186957           95.9948        0.296505           30.411           0.404485           6.46154           0.213305
127.325            0.692845                 96.0995            0.363565           85.2483         0.447076           17.1122                  0.175835           97.0214        0.297318           32.128           0.403537           6.61847           0.231986
128.023            0.691231                 97.1356            0.364291           86.385          0.446573           18.1929                  0.165225           98.0482        0.298134           33.8442          0.402964           6.78224           0.250677
128.722            0.68964                  98.1717            0.365016           87.522          0.446096           19.3526                  0.155175           99.0752        0.29895            35.5503          0.402705           6.95393           0.269373
129.422            0.688074                 99.2077            0.365739           88.6591         0.445641           20.5946                  0.145731           100.102        0.299766           37.2373          0.402703           7.13465           0.288071
130.122            0.686532                 100.244            0.366462           89.7962         0.445207           21.9222                  0.136939           101.129        0.300581           38.8959          0.402897           7.32548           0.306769
130.822            0.685014                 101.28             0.367185           90.9334         0.444789           23.3442                  0.128766           102.157        0.301392           40.5169          0.403229           7.52753           0.325464
131.523            0.683519                 102.316            0.367908           92.0706         0.444387           24.8276                  0.120544           103.184        0.302199           42.1724          0.403347           7.74189           0.344152
132.225            0.682047                 103.351            0.368632           93.2077         0.443997           26.4378                  0.113695           104.211        0.303              43.8549          0.403347           7.96964           0.362829
132.923            0.680423                 104.387            0.369358           94.3446         0.443616           28.0624                  0.107              105.239        0.303794           45.5316          0.403941           8.21189           0.381494
133.62             0.67875                  105.423            0.370085           95.4832         0.443573           29.7145                  0.100689           106.266        0.304579           47.2094          0.404417           8.46972           0.400143
134.334            0.677543                 106.461            0.370549           96.6214         0.443444           31.4192                  0.0951253          107.294        0.305354           48.8891          0.404841           8.74424           0.418772
135.051            0.676391                 107.497            0.371094           97.7569         0.442822           33.14                    0.0898616          108.321        0.306118           50.5663          0.405686           9.03653           0.437379
