'Erecoil (keV)'    'Yield'
24.4044            0.330328
29.4008            0.285829
157.076            1.02157
88.1603            0.291162
118.581            0.976935
49.9476            0.318659
108.867            1.07441
63.777             0.261649
26.6021            0.324986
68.8942            0.944094
42.0327            0.983256
15.5692            0.930567
99.6334            0.330338
70.8126            1.06475
120.04             0.983271
13.9703            0.278344
56.8623            1.00341
19.846             0.31666
185.576            1.00458
153.118            1.04489
17.4875            0.258479
157.795            0.945249
49.0682            0.991897
18.9667            0.34401
30.1205            0.269987
16.6081            0.260493
23.3643            0.30801
45.7096            0.276333
184.26             1.01205
196.29             1.10623
16.6082            0.263663
48.4873            0.319815
19.5256            0.228816
85.0822            1.05208
55.5428            1.09442
135.611            1.05641
70.6717            1.11889
20.7253            1.0161
11.3323            1.27021
197.77             0.976924
120.621            0.797093
28.6413            1.05123
133.852            1.01524
27.9216            0.23399
125.776            0.990743
188.497            1.01406
94.4784            0.343133
192.333            1.02472
132.094            1.05123
30.9998            1.07339
29.0804            0.221333
28.5215            0.281506
74.6513            1.07339
12.2116            0.333635
17.0483            0.181015
21.3052            0.174683
95.6372            0.348327
28.2011            0.353504
22.0459            0.291156
6.33482            1.01724
145.323            0.976935
18.3679            0.266833
115.183            0.997081
23.524             0.334497
11.0129            0.304838
7.2141             0.712315
94.0371            0.956918
13.9703            1.0204
55.5427            0.315489
130.335            0.973754
171.906            1.02992
24.2426            0.207514
191.733            1.10624
156.756            1.01206
20.1254            0.175841
188.376            1.0256
58.9003            0.422325
37.4754            0.992913
65.6764            0.993915
28.8009            0.253001
134.131            1.03625
106.23             1.00142
18.3679            0.259345
129.014            0.999238
15.8697            0.244652
39.0743            0.28381
163.23             1.05123
26.0023            1.10076
192.054            0.984413
22.7644            0.286989
79.3262            0.349473
8.37398            0.405487
23.2036            0.174686
43.931             0.276337
178.384            1.01407
20.406             0.261649
24.9622            0.23919
47.7488            0.357829
23.2036            0.312331
129.734            0.946415
126.656            1.0204
72.0123            1.06273
183.059            1.05007
23.524             0.316652
195.41             0.997084
50.1062            0.973764
34.9561            0.562127
14.8496            0.222482
113.725            1.00025
28.0813            0.924223
192.612            1.08176
94.9175            1.03525
13.3704            0.277482
85.3638            1.01522
15.4095            0.291163
68.0149            1.09038
14.2497            0.865781
31.1594            1.14422
74.9297            1.04056
84.0432            0.868944
172.186            1.16757
150.88             1.01609
191.615            1.02472
19.0865            0.239194
120.34             0.951596
90.7993            0.989606
65.8162            0.410813
21.445             0.27317
24.2426            0.325
170.748            1.05641
173.066            0.999253
189.836            1.07758
25.123             0.284837
26.8816            0.270001
95.3556            0.99507
12.7705            0.33566
129.734            0.957934
89.4798            0.372798
87.4218            0.984412
120.04             1.02359
87.8809            0.376834
142.805            1.07758
183.059            1.04374
8.37393            0.557962
156.635            1.01205
53.0246            1.07123
58.6209            0.320682
25.8426            0.247823
9.0936             0.334497
63.0174            1.04892
102.552            1.00341
126.496            1.08925
104.631            1.06475
28.3608            0.30915
182.18             0.93893
35.556             0.97692
28.8009            0.271141
23.2036            1.16324
118.861            0.893423
134.731            1.06274
183.938            0.936908
183.38             1.03105
30.2801            0.292161
69.0539            0.976055
189.975            1.04892
183.059            1.04259
71.1119            0.979231
97.7141            1.00774
28.6413            0.339978
53.6245            1.09672
73.6112            0.337665
22.6447            1.01408
124.459            1.02788
16.7679            0.251999
57.5808            0.345157
77.5676            0.9369
137.09             0.99075
109.307            0.993926
186.456            1.0639
115.942            0.979242
49.3676            0.296492
119.462            0.988735
95.3556            1.01927
18.6473            0.320678
111.226            1.03106
108.588            1.00341
66.8551            0.993915
105.189            1.00889
122.101            0.982398
120.621            0.992898
97.714             0.437302
20.5657            0.21384
30.1205            0.357814
20.7253            0.223357
27.3218            0.344006
165.588            1.03525
30.7203            0.340823
121.659            1.0109
20.8451            0.170518
19.4069            0.370499
60.1001            0.808766
19.846             0.325004
45.1108            0.268845
198.369            1.02675
16.1691            0.290153
25.8426            0.354658
73.8906            0.563132
23.6438            0.379999
23.0849            0.288998
26.6021            0.332467
84.9226            0.424632
112.106            1.05524
109.747            1.03106
20.5656            0.262507
32.9181            0.281506
29.5195            0.253015
41.8719            0.203185
110.068            1.00773
21.6047            0.289005
114.163            1.05756
107.269            0.996078
25.7228            0.316645
21.7443            0.223352
191.172            1.03208
151.639            1.08491
171.467            1.00571
21.7443            0.904944
18.807             0.225652
13.091             1.24703
78.0089            0.919913
168.97             1.01292
15.129             0.247826
138.689            1.05439
67.1345            1.01839
37.3146            0.30801
167.189            1.05324
34.2365            1.09441
43.4919            1.06273
34.2365            0.287986
63.4566            0.266832
32.479             0.3008
103.151            1.03207
151.321            1.09556
13.9703            1.02155
18.807             0.194839
20.8451            0.255323
182.938            1.1284
121.058            0.709143
39.3936            1.00256
36.1559            0.536639
33.3583            1.07757
11.1716            1.01293
52.3049            0.341987
29.8399            1.17821
19.4069            0.293332
6.01547            1.4057
120.5              1.00774
116.383            1.01522
19.846             0.349477
29.0804            0.286989
109.468            1.00976
105.071            1.01292
113.265            1.06158
29.5195            0.715619
24.6838            0.286985
27.1809            0.291159
26.0022            0.872121
167.789            1.03524
78.8882            0.333628
26.7419            0.248842
41.7122            0.360992
51.8658            0.311176
9.41293            1.44688
96.8358            1.02041
17.3289            1.11255
23.9642            0.58012
158.234            0.993922
71.8515            1.0109
67.0148            0.366326
102.112            1.02157
25.7228            0.340826
67.1346            1.01206
63.1782            1.12408
143.406            1.05756
99.0336            0.793796
18.9667            0.182182
50.706             0.257345
77.1296            0.913584
19.9658            0.324993
109.468            0.359842
115.504            1.00773
174.406            1.09672
189.696            1.06705
68.6138            0.331332
22.484             0.928264
30.7203            0.269984
39.9536            0.274315
38.7938            1.02358
33.0567            0.921931
44.2315            1.02155
104.31             0.983264
53.4648            0.985558
49.5074            0.30801
6.0155             0.888233
144.284            1.07858
17.0484            0.202325
18.9667            0.34401
42.0326            0.315486
85.9626            0.885947
146.043            1.00774
43.931             0.851099
72.5723            0.389496
170.866            1.0204
34.8363            0.296488
58.3415            0.280661
192.772            1.03106
178.384            1.05524
156.917            1.08923
24.9622            1.43003
88.1603            1.01091
15.8697            0.224496
87.1224            1.04576
21.4449            0.341994
125.338            1.04891
8.97389            1.18771
43.4919            1.09441
126.656            0.980084
58.4612            0.287987
41.2731            0.284826
41.1534            0.993923
87.281             0.99191
36.2756            1.05525
116.663            1.03308
20.2862            0.247823
33.957             1.00457
66.416             1.02472
16.0094            0.287994
69.7736            1.00658
40.8329            0.269987
178.222            1.03422
15.129             0.271151
57.7416            0.344002
30.1205            0.420305
150.321            1.04259
47.9073            0.354654
189.836            0.99925
18.2071            0.168344
52.9049            0.318673
42.1513            0.359834
