x,Curve1,curve2,curve3,curve4
170.344,-1465142164796.61792,0.93462,0.46513,0.33982
171.273,-2262835425286.129883,0.93381,0.46531,0.34044
172.374,-3529257206163.40967,0.93241,0.46552,0.34123
173.262,-4.84243e+12,0.93162,0.46574,0.34183
174.748,-7.7025e+12,0.93454,0.46631,0.3427
175.848,-1.04255e+13,0.93544,0.46695,0.34323
176.459,-1.21821e+13,0.93562,0.46735,0.34347
178.084,-17789156198452.78906,0.93554,0.46831,0.34395
179.323,-2.30665e+13,0.93521,0.46877,0.34423
181.558,-3.50462e+13,0.93443,0.46931,0.34477
182.659,-4.22228e+13,0.93405,0.46962,0.34523
184.659,-5.76592e+13,0.93362,0.47022,0.34644
185.033,-60909167012779.61719,0.93364,0.47031,0.34667
186.134,-71174926110485.7031,0.93407,0.47056,0.34723
187.995,-91055337997987.0781,0.93562,0.47109,0.34775
188.508,-97119011631922.875,0.9353,0.47131,0.34787
189.608,-111024738277178.2188,0.93405,0.47196,0.34823
191.191,-133265084083486.8594,0.93262,0.47299,0.34917
191.844,-1.43232e+14,0.93308,0.47332,0.34961
192.944,-161151383847132.6563,0.93588,0.47365,0.35023
193.276,-1.66842e+14,0.93662,0.47372,0.35037
195.179,-202025296109370.125,0.93876,0.47432,0.35088
196.419,-227412531717221.6875,0.93952,0.47519,0.35123
196.612,-231558279151188.875,0.93963,0.47536,0.35131
198.515,-275043577686997.5938,0.94085,0.47732,0.35236
199.755,-3.06105e+14,0.94228,0.47864,0.35324
